year,NSE,KGE
1986,0.6419638440727478,0.7674730731169779
1987,0.4124723167907445,0.562714061136823
1988,0.6425455182658038,0.7118830093200943
1989,0.6943172467520511,0.6629986677406445
1990,0.6643173735771575,0.7565227211565555
1991,0.4392709949948762,0.6586826811329248
1992,0.6279393312769358,0.6954742911358849
1993,0.8384056027965601,0.8298632724326946
1994,0.8398366597537025,0.8622775002143688
1995,0.8307047435942132,0.8370751166652035
1996,0.8669232464271973,0.856990512369315
1997,0.6217808794088577,0.6314561978533639
1998,0.789116876885249,0.8515528868637515
